Reel Number,Extracted Text
428,"If only there was a page that posts how
things are made in the world...."
429,"If only there was a page that posts how
things are made in the world....

com"
43,"Manufacturing of eco-friendly food plates

=—

Follow (©) @howthingsformed"
430,"If only there was a page that posts how
things are made in the world...."
431,"If only there was a page that posts how
things are made in the world...."
432,"If only there was a page that posts how
things are made in the world...."
433,"If only there was a page that posts how
things are made in the world..."
434,"If only there was a page that posts how
things are made in the world...."
435,"If only there was a page that posts how
things are made in the world...."
436,"If only there was a page that posts how
things are made in the world..."
437,"If only there was a page that posts how
things are made in the world...."
438,"If only there was a page that posts how
things are made in the world...."
439,"If only there was a page that posts how
things are made in the world...."
44,"If only there is a page dedicated to
how things are formed

ee

Follow (6) @howthingsformed"
440,"If only there was a page that posts how
things are made in the world...."
441,"If only there was a page that posts how
things are made in the world...."
442,"If only there was a page that posts how
things are made in the world...."
443,"If only there was a page that posts how
things are made in the world...."
444,"If only there was a page that posts how
things are made in the world...."
445,"If only there was a page that posts how
things are made in the world...."
446,"If only there was a page that posts how
things are made in the world...
: i"
447,
448,"If only there was a page that posts how
things are made in the world...."
449,"If only there was a page that posts how
things are made in the world...."
45,"If only there is a page dedicated to
how things are formed
ee OOO, oo ee"
450,"If only there was a page that posts how
things are made in the world...."
451,"If only there was a page that posts how
things are made in the world...."
452,"If only there was a page that posts how
things are made in the world..."
453,"If only there was a page that posts how
things are made in the world..."
454,"If only there was a page that posts how
things are made in the world...."
455,"If only there was a page that posts how
things are made in the world...."
456,"If only there was a page that posts how
things are made in the world....

——

ea"
457,How SASS are made
458,"If only there was a page that posts how
things are made in the world...."
459,"If only there was a page on how thing work
in the world"
46,"If only there is a page dedicated to
how things are formed

Follow i] @howthingsformed"
460,"If only there was a page that posts how
things are made in the world..."
461,"If only there was a page that posts how
things are made in the world..."
462,"If only there was a page that posts how
things are made in the world...."
463,"How peanut butter is made
a Tg"
464,How tires are shaped
465,How customized zippers made
466,"How plastic water jugs are
made"
467,How light up shoes are made
468,How calendars are alike
469,"How roofing

he,

sheet is made"
47,"If only there is a page dedicated to
how things are formed"
470,
471,How sausages are made
472,How round cushion stools are
473,"How f

ruit bowls are made"
474,How kids hair ties are made
475,How moon jars are made
476,"How buckets are made
ee"
477,
478,How flat washers are made
479,How loud speakers are made
48,Making ropes from plastic wastage
480,"How coffee is So -
v4

= a= =i]"
481,How markers are printed
482,How glass jars are made
483,
484,How screws are made
485,How rings are made
486,"How pu caster wheels are made
a"
487,How cleaver knifes are made
488,How ships are made
489,How leather belts are made
49,"If only there is a page dedicated to
how things are formed

Follow i()] @howthingsformed"
490,"How paper cups are made

«a .\o"""
491,How towers are made
492,How springs are made
493,How planes are made
494,How car mats are made
495,How burgers are made
496,How plastic bats are made
497,"How Olympic curling stones are
made"
498,How large bolts are made
499,How nails are made
5,"If there is a page dedicated to
how things are formed

f
7"
50,"Making process of western ceramic commode

Follow (©) @howthingsformed"
500,How music boxes are made
501,How mugs are made
502,How basket balls are made
503,"How drum cans are made

, 4 i |"
504,How boots are made
505,How road Barriers are made
506,How vases are made
507,How tires are made
508,How terrestrial globes are made
509,"How shirts are made

= &"
51,"Assembling of motorcycle engine

Follow {@]@howthingsformed"
510,How phone cases are made
511,How food commercials are made
512,How train tracks are laid
513,How doughnuts are made
514,How chopping boards are made
515,"How candy is made

0"
516,How toy planes are made
517,How firecrackers are made
518,"How churros are made

a  :"
519,How Armatures are made
52,"manufacturing process of bike chain sprockets

Follow (©) @howthingsformed"
520,How ice cream is made
521,How brushes are made
522,How leather bags are made
523,"How water bottles are made
Ee"
524,How doorknobs are made
525,How gloves are made
526,How food commercials are made
527,How badminton rackets are made
528,How sugar is made
529,t-shirt hanging dye
53,"Mud micro oven making...

Follow (©) @howthingsformed"
530,How light bulbs are made
531,How large nuts are made
532,"How pencils are sharpened are
made

at) roe 4"
533,How boiling rings are made
534,How glass cups are made
535,How antique papers are made
536,How brass plates are made
537,"If only there was a page that posts how
things are made in the world...

a ar"" Tb 9 2 yw ~YER"
538,"If only there was a page that posts how
things are made in the world...."
539,"If only there was a page that posts how
things are made in the world...."
54,"Scissors manufacturing..

Follow (©) @howthingsformed"
540,"If only there was a page that posts how
things are made in the world...

en Dt, lO ll"
541,"If only there was a page that posts how
things are made in the world..."
542,"If only there was a page that posts how
things are made in the world...."
543,"If only there was a page that posts how
things are made in the world....

KS bal

hy i 8"
544,"If only there was a page that posts how
things are made in the world..."
545,
546,"If only there was a page that posts how
things are made in the world...

ee"
547,"If only there was a page that posts how
things are made in the world...."
548,"If only there was a page that posts how
things are made in the world....

, ."
549,"If only there was a page that posts how
things are made in the world..."
55,"manufacturing of door aldrop locks..

Follow [©] @howthingsformed"
550,"If only there was a page that posts how
things are made in the world...."
551,"If only there was a page that posts how
things are made in the world..."
552,"If only there was a page that posts how
things are made in the world...."
553,"If only there was a page that posts how
things are made in the world..."
554,"If only there was a page that posts how
things are made in the world...

ce a"
555,"If only there was a page that posts how
things are made in the world..."
556,
557,"If only there was a page that posts how
things are made in the world...."
558,"If only there was a page that posts how
things are made in the world..."
559,"If only there was a page that posts how
things are made in the world..."
56,"Making paper cones for textile industries

Follow (@}@howthingsformed"
560,"If only there was a page that posts how
things are made in the world..."
561,"If only there was a page that posts how
things are made in the world...."
562,"If only there was a page that posts how
things are made in the world...."
563,"If only there was a page that posts how
things are made in the world..."
564,"If only there was a page that posts how
things are made in the world...

eS ia 7 ="
565,"If only there was a page that posts how
things are made in the world...."
566,"If only there was a page that posts how
things are made in the world...."
567,"If only there was a page that posts how
things are made in the world...

\—)"
568,"If only there was a page that posts how
things are made in the world...."
569,
57,"If only there is a page dedicated to
how things are formed

Follow (©) @howthingsformed"
570,"If only there was a page that posts how
things are made in the world..."
